Ship_Status,NDR_Remarks,Total_Attempts,AWB
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010763792
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010763825
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010763840
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010763862
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010763895
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010763932
RTO,Maximum attempts reached,Attempt 2,22679010763965
RTO,Maximum attempts reached,Attempt 3,22679010763976
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010763991
RTO,NDR Call - FE remark correct,Attempt 1,22679010764035
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010764046
RTO,Maximum attempts reached,Attempt 1,22679010764083
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010764120
RTO,Maximum attempts reached,Attempt 2,22679010764131
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010764153
RTO,Consignee Unavailable,Attempt 1,22679010764186
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010764223
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010764234
RTO,Consignee Unavailable,Attempt 2,22679010764260
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010764304
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010764326
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010764341
RTO,Consignee Unavailable,Attempt 2,22679010764352
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010764374
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010764396
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010764400
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010764466
RTO,Consignee Unavailable,Attempt 1,22679010764470
RTO,Consignee Unavailable,Attempt 1,22679010764455
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010764481
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010764492
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010764503
RTO,Consignee Unavailable,Attempt 1,22679010764514
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010764536
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010764540
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010764562
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010764606
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010764610
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010764632
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010764665
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010764680
RTO,Consignee Unavailable,Attempt 1,22679010764702
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010764713
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010764735
RTO,Maximum attempts reached,Attempt 2,22679010764750
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010764772
RTO,Consignee Unavailable,Attempt 2,22679010764805
RTO,Consignee Unavailable,Attempt 2,22679010764842
RTO,Consignee Unavailable,Attempt 1,22679010764864
RTO,NDR Call - FE remark correct,Attempt 2,22679010764886
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010764890
RTO,Consignee Unavailable,Attempt 2,22679010764901
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010764971
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010765004
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010765015
RTO,Consignee Unavailable,Attempt 2,22679010765041
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010765111
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010765144
RTO,Maximum attempts reached,Attempt 1,22679010765155
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010765166
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010765170
RTO,Consignee Unavailable,Attempt 2,22679010765181
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010765225
RTO,Consignee Unavailable,Attempt 2,22679010765262
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010765284
Out For Delivery,Consignee Unavailable,Attempt 1,22679010765273
RTO,Maximum attempts reached,Attempt 2,22679010765295
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010765354
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010765376
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010765380
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010765413
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010765450
RTO,Consignee Unavailable,Attempt 2,22679010765446
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010765472
RTO,Maximum attempts reached,Attempt 2,22679010765483
RTO,Maximum attempts reached,Attempt 2,22679010765542
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010765634
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010765645
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010765671
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010765682
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010765693
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010765726
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010765730
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010765741
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010765752
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010765763
RTO,Maximum attempts reached,Attempt 2,22679010765785
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010765811
RTO,Consignee Unavailable,Attempt 1,22679010765870
Out For Delivery,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010765866
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010765914
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010765925
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010765962
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010765984
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010766010
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010766021
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010766043
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010766054
RTO,Recipient wants open delivery,Attempt 1,22679010766080
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010766091
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010766113
RTO,Maximum attempts reached,Attempt 2,22679010766124
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010766146
RTO,Consignee Unavailable,Attempt 2,22679010766172
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010766205
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010766220
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010766231
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010766253
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010766371
RTO,Consignee Unavailable,Attempt 1,22679010766404
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010766430
RTO,Consignee Unavailable,Attempt 1,22679010766441
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010766452
RTO,Consignee Unavailable,Attempt 1,22679010766463
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010766474
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010766485
RTO,Consignee Unavailable,Attempt 1,22679010766496
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010766500
RTO,NDR Call - FE remark correct,Attempt 1,22679010766533
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010766555
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010766566
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010766581
RTO,Consignee Unavailable,Attempt 1,22679010766625
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010766662
RTO,Consignee Unavailable,Attempt 2,22679010766673
RTO,Maximum attempts reached,Attempt 1,22679010766684
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010766706
Delivered,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010766721
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010766732
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010766743
RTO,Consignee Unavailable,Attempt 2,22679010766765
RTO,Consignee Unavailable,Attempt 1,22679010766791
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010766813
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010766824
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010766835
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010766846
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010766850
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010766883
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010766905
RTO,Consignee Unavailable,Attempt 2,22679010767045
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010767060
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767082
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767093
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010767104
RTO,NDR Call - FE remark correct,Attempt 1,22679010767115
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010767141
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767152
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010767174
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010767196
Exception,Consignee Unavailable,Attempt 3,22679010767222
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010767244
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010767255
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010767266
RTO,NDR Call - FE remark correct,Attempt 2,22679010767292
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767281
RTO,Consignee Unavailable,Attempt 2,22679010767303
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010767325
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767373
Out For Delivery,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767384
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010767395
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767406
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010767421
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010767465
RTO,Consignee Unavailable,Attempt 1,22679010767480
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767491
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010767502
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767513
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010767546
RTO,Maximum attempts reached,Attempt 2,22679010767583
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010767594
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010767605
RTO,Consignee Unavailable,Attempt 2,22679010767616
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010767620
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767631
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767642
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767653
RTO,Consignee Unavailable,Attempt 2,22679010767675
RTO,Consignee Unavailable,Attempt 2,22679010767686
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010767723
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010767760
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010767771
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767782
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010767826
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010767830
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010767885
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010767900
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010767922
